[0/10][0/1272]  Loss_D: 1.8932	Loss_G: 6.2211	D(x): 0.6284	D(G(z)): 0.6694 / 0.0035
[3/10][900/1272]	Loss_D: 0.5397	Loss_G: 4.1115	D(x): 0.9076	D(G(z)): 0.3226 / 0.0237
[3/10][950/1272]	Loss_D: 0.5816	Loss_G: 4.6727	D(x): 0.9553	D(G(z)): 0.3823 / 0.0148
[3/10][1000/1272]	Loss_D: 1.2441	Loss_G: 1.0311	D(x): 0.3704	D(G(z)): 0.0337 / 0.4144
[3/10][1050/1272]	Loss_D: 0.4062	Loss_G: 2.7037	D(x): 0.8628	D(G(z)): 0.2007 / 0.0902
[3/10][1100/1272]	Loss_D: 0.5510	Loss_G: 2.5673	D(x): 0.8368	D(G(z)): 0.2758 / 0.1000
[3/10][1150/1272]	Loss_D: 0.6200	Loss_G: 1.7111	D(x): 0.6941	D(G(z)): 0.1843 / 0.2178
[3/10][1200/1272]	Loss_D: 0.5721	Loss_G: 2.7648	D(x): 0.8297	D(G(z)): 0.2821 / 0.0845
[3/10][1250/1272]	Loss_D: 0.5809	Loss_G: 1.2498	D(x): 0.6744	D(G(z)): 0.1236 / 0.3300
[4/10][0/1272]	Loss_D: 0.4654	Loss_G: 2.3140	D(x): 0.7846	D(G(z)): 0.1714 / 0.1254
[4/10][50/1272]	Loss_D: 0.5102	Loss_G: 2.4963	D(x): 0.7730	D(G(z)): 0.1859 / 0.1148
[4/10][100/1272]	Loss_D: 0.3379	Loss_G: 3.2481	D(x): 0.8748	D(G(z)): 0.1710 / 0.0524
[4/10][150/1272]	Loss_D: 0.8389	Loss_G: 1.7559	D(x): 0.5217	D(G(z)): 0.0969 / 0.2249
[4/10][200/1272]	Loss_D: 0.4704	Loss_G: 2.6193	D(x): 0.8069	D(G(z)): 0.2004 / 0.0932
[4/10][250/1272]	Loss_D: 0.5076	Loss_G: 2.7769	D(x): 0.9054	D(G(z)): 0.2987 / 0.0847
[4/10][300/1272]	Loss_D: 1.0381	Loss_G: 0.8591	D(x): 0.4627	D(G(z)): 0.0991 / 0.4787
[4/10][350/1272]	Loss_D: 1.5876	Loss_G: 5.3166	D(x): 0.9774	D(G(z)): 0.7226 / 0.0089
[4/10][400/1272]	Loss_D: 0.3951	Loss_G: 3.1329	D(x): 0.9233	D(G(z)): 0.2530 / 0.0557
[4/10][450/1272]	Loss_D: 0.3828	Loss_G: 2.5184	D(x): 0.8455	D(G(z)): 0.1738 / 0.0995
[4/10][500/1272]	Loss_D: 0.8034	Loss_G: 3.5317	D(x): 0.8045	D(G(z)): 0.3999 / 0.0403
