Length of men_no_glasses_loader: 2312
Length of men with glasses loader: 328
Length of women with glasses loader: 85
Finished initialising datasets and dataloaders
Epoch [261/300], Loss_G: 2.836595058441162, Loss_D: 0.00027134144329465926
Epoch [262/300], Loss_G: 2.8113417625427246, Loss_D: 9.988647070713341e-05
Epoch [263/300], Loss_G: 2.7974023818969727, Loss_D: 0.00011027152504539117
Epoch [264/300], Loss_G: 2.868617534637451, Loss_D: 5.098349356558174e-05
Epoch [265/300], Loss_G: 2.803685426712036, Loss_D: 5.509638140210882e-05
Epoch [266/300], Loss_G: 2.8602051734924316, Loss_D: 0.0006317828665487468
Epoch [267/300], Loss_G: 2.828058958053589, Loss_D: 5.2181436331011355e-05
Epoch [268/300], Loss_G: 2.8454833030700684, Loss_D: 0.00016267683531623334
Epoch [269/300], Loss_G: 2.795398712158203, Loss_D: 0.00020989168842788786
Epoch [270/300], Loss_G: 2.8422746658325195, Loss_D: 0.00033364066621288657
Epoch [271/300], Loss_G: 2.8860111236572266, Loss_D: 0.002726461738348007
Epoch [272/300], Loss_G: 2.7980551719665527, Loss_D: 0.0004376367141958326
Epoch [273/300], Loss_G: 2.854315757751465, Loss_D: 0.0004404954961501062
Epoch [274/300], Loss_G: 2.7515196800231934, Loss_D: 0.0031619060318917036
Epoch [275/300], Loss_G: 2.819995164871216, Loss_D: 0.0002199744340032339
Epoch [276/300], Loss_G: 2.6848273277282715, Loss_D: 0.00589792849496007
Epoch [277/300], Loss_G: 2.8652877807617188, Loss_D: 0.000168165861396119
Epoch [278/300], Loss_G: 2.7611148357391357, Loss_D: 0.002051415853202343
Epoch [279/300], Loss_G: 2.842362642288208, Loss_D: 0.0003654652100522071
Epoch [280/300], Loss_G: 2.8622183799743652, Loss_D: 0.0019861541222780943
Epoch [281/300], Loss_G: 2.813875436782837, Loss_D: 0.000256382510997355
Epoch [282/300], Loss_G: 2.891807794570923, Loss_D: 0.004412108566612005
Epoch [283/300], Loss_G: 2.829245090484619, Loss_D: 0.0006193809676915407
Epoch [284/300], Loss_G: 2.083925724029541, Loss_D: 0.8556866645812988
Epoch [285/300], Loss_G: 2.882467746734619, Loss_D: 0.00012363118003122509
Epoch [286/300], Loss_G: 2.81134033203125, Loss_D: 5.6340883020311594e-05
Epoch [287/300], Loss_G: 2.869927406311035, Loss_D: 5.153559322934598e-05
Epoch [288/300], Loss_G: 2.76460862159729, Loss_D: 0.00016404852794948965
Epoch [289/300], Loss_G: 2.7636313438415527, Loss_D: 0.0011127605102956295
Epoch [290/300], Loss_G: 2.864041805267334, Loss_D: 0.002308816649019718
Epoch [291/300], Loss_G: 2.86865234375, Loss_D: 7.393343548756093e-05
Epoch [292/300], Loss_G: 2.808681011199951, Loss_D: 0.0009840403217822313
Epoch [293/300], Loss_G: 2.8193109035491943, Loss_D: 0.00012906207120977342
Epoch [294/300], Loss_G: 2.913038730621338, Loss_D: 0.0024075880646705627
Epoch [295/300], Loss_G: 2.814222574234009, Loss_D: 0.00023849576245993376
Epoch [296/300], Loss_G: 2.769052505493164, Loss_D: 0.00012167183740530163
Epoch [297/300], Loss_G: 2.796273708343506, Loss_D: 0.0008678821031935513
Epoch [298/300], Loss_G: 2.7986974716186523, Loss_D: 0.00039961718721315265
Epoch [299/300], Loss_G: 2.800020217895508, Loss_D: 6.409923662431538e-05
Epoch [300/300], Loss_G: 2.9174861907958984, Loss_D: 7.09316082065925e-05
